,Unnamed: 0,userId,movieId,rating,movie_idx
4317,4317,38,653,3.0,647
4318,4318,38,733,4.0,723
4319,4319,38,736,3.0,726
4320,4320,38,780,3.0,769
4321,4321,38,784,3.0,773
4322,4322,38,786,4.0,775
4323,4323,38,788,3.0,777
4324,4324,38,1073,3.0,1054
72573,72573,510,1407,3.0,1376
72574,72574,510,1517,3.5,1473
72575,72575,510,2115,4.5,2033
72576,72576,510,2706,2.5,2622
72577,72577,510,2710,3.5,2626
72578,72578,510,2791,4.0,2707
72579,72579,510,2797,3.5,2713
72580,72580,510,3793,3.5,3704
72581,72581,510,3996,5.0,3904
72582,72582,510,5952,4.5,5856
72755,72755,512,7579,4.5,7383
72756,72756,512,7669,2.0,7419
72757,72757,512,26662,4.0,9035
72758,72758,512,31694,1.0,9819
72759,72759,512,33830,2.0,10237
72760,72760,512,44004,0.5,10929
72761,72761,512,50160,1.0,11603
72762,72762,512,56152,4.0,12311
72763,72763,512,73319,3.5,14718
72764,72764,512,83132,4.5,16488
282214,282214,1939,2454,1.0,2371
282215,282215,1939,2643,4.0,2560
282216,282216,1939,2672,4.0,2588
282217,282217,1939,3062,5.0,2977
282218,282218,1939,3986,3.0,3894
282219,282219,1939,3988,2.0,3896
282220,282220,1939,4369,2.0,4277
282221,282221,1939,6016,4.0,5920
282222,282222,1939,6534,3.0,6427
282223,282223,1939,34048,3.0,10282
274032,274032,1883,356,5.0,354
274033,274033,1883,380,3.0,378
274034,274034,1883,434,4.0,432
274035,274035,1883,457,5.0,455
274036,274036,1883,480,5.0,478
274037,274037,1883,588,4.0,584
274038,274038,1883,590,4.0,586
274039,274039,1883,592,3.0,588
274040,274040,1883,593,5.0,589
274041,274041,1883,595,3.0,591
284562,284562,1961,2378,3.5,2295
284563,284563,1961,2410,4.0,2327
284564,284564,1961,2539,2.0,2456
284565,284565,1961,2794,3.5,2710
284566,284566,1961,4993,4.0,4900
284567,284567,1961,5952,4.5,5856
284568,284568,1961,7153,4.0,7044
284569,284569,1961,54286,4.0,12069
284570,284570,1961,55765,4.0,12268
284571,284571,1961,60069,4.0,12803
85540,85540,607,2986,1.0,2902
85541,85541,607,3105,2.5,3020
85542,85542,607,3254,4.5,3169
85543,85543,607,4002,4.0,3910
85544,85544,607,4023,3.0,3931
85545,85545,607,4973,4.0,4880
85546,85546,607,46578,3.5,11176
85547,85547,607,68954,3.5,13821
85548,85548,607,69757,4.5,13968
85549,85549,607,84847,4.0,16824
4221,4221,36,1593,2.0,1543
4222,4222,36,1597,3.0,1547
4223,4223,36,1608,4.0,1557
4224,4224,36,1617,5.0,1566
4225,4225,36,1620,3.0,1568
4226,4226,36,1632,1.0,1580
4227,4227,36,1641,4.0,1586
4228,4228,36,1661,4.0,1606
4229,4229,36,1673,4.0,1618
4230,4230,36,1676,2.0,1621
73331,73331,518,3275,1.0,3190
73332,73332,518,4126,2.5,4034
73333,73333,518,4713,3.5,4621
73334,73334,518,5065,1.0,4972
73335,73335,518,8527,0.5,7875
73336,73336,518,34153,3.5,10297
73337,73337,518,34542,3.0,10371
73338,73338,518,69481,3.0,13913
73339,73339,518,81591,5.0,16168
73340,73340,518,82459,3.0,16382
73968,73968,521,2248,3.5,2165
73969,73969,521,2393,4.5,2310
73970,73970,521,2539,4.0,2456
73971,73971,521,2605,3.5,2522
73972,73972,521,2723,2.5,2639
73973,73973,521,2724,3.5,2640
73974,73974,521,2746,4.0,2662
73975,73975,521,2871,3.0,2787
73976,73976,521,3039,3.0,2954
73977,73977,521,3082,3.5,2997
76409,76409,549,710,2.0,700
76410,76410,549,780,5.0,769
76411,76411,549,802,4.0,791
76412,76412,549,818,3.0,805
76413,76413,549,828,3.0,815
76414,76414,549,839,1.0,826
76415,76415,549,852,3.0,839
76416,76416,549,1073,5.0,1054
76417,76417,549,1210,4.0,1186
76418,76418,549,1429,5.0,1397
76049,76049,546,637,3.0,632
76050,76050,546,661,3.0,655
76051,76051,546,704,2.0,694
76052,76052,546,708,3.0,698
76053,76053,546,733,5.0,723
76054,76054,546,736,4.0,726
76055,76055,546,780,4.0,769
76056,76056,546,786,5.0,775
76057,76057,546,802,5.0,791
76058,76058,546,1073,3.0,1054
103499,103499,722,2140,3.5,2058
103500,103500,722,2144,1.5,2062
103501,103501,722,2393,1.5,2310
103502,103502,722,2427,3.5,2344
103503,103503,722,2605,5.0,2522
103504,103504,722,2746,2.5,2662
103505,103505,722,3210,0.5,3125
103506,103506,722,3510,5.0,3422
103507,103507,722,3863,0.5,3772
103508,103508,722,4018,4.5,3926
272990,272990,1870,913,1.5,898
272991,272991,1870,953,3.5,938
272992,272992,1870,1215,2.5,1191
272993,272993,1870,1233,3.5,1208
272994,272994,1870,1242,4.5,1216
272995,272995,1870,1320,4.0,1293
272996,272996,1870,1408,3.0,1377
272997,272997,1870,2100,2.5,2018
272998,272998,1870,2395,4.5,2312
272999,272999,1870,3175,1.5,3090
108937,108937,742,141,2.0,141
108938,108938,742,647,5.0,641
108939,108939,742,708,4.0,698
108940,108940,742,724,3.0,714
108941,108941,742,736,4.0,726
108942,108942,742,765,3.0,754
108943,108943,742,780,4.0,769
108944,108944,742,785,2.0,774
108945,108945,742,802,3.0,791
108946,108946,742,805,5.0,794
196157,196157,1336,1953,2.0,1871
196158,196158,1336,2020,2.5,1938
196159,196159,1336,2064,2.0,1982
196160,196160,1336,2108,3.5,2026
196161,196161,1336,2393,2.5,2310
196162,196162,1336,2490,2.5,2407
196163,196163,1336,2871,2.5,2787
196164,196164,1336,2915,2.0,2831
196165,196165,1336,2968,2.5,2884
196166,196166,1336,3108,2.5,3023
263479,263479,1821,2841,3.5,2757
263480,263480,1821,2858,5.0,2774
263481,263481,1821,3552,3.0,3463
263482,263482,1821,4019,4.0,3927
263483,263483,1821,5673,5.0,5577
263484,263484,1821,6711,5.0,6604
263485,263485,1821,7361,5.0,7252
263486,263486,1821,57669,5.0,12469
263487,263487,1821,81845,3.0,16233
263488,263488,1821,82459,3.0,16382
110987,110987,763,2947,4.0,2863
110988,110988,763,3421,2.5,3334
110989,110989,763,3755,1.5,3666
110990,110990,763,3949,4.5,3857
110991,110991,763,4246,1.0,4154
110992,110992,763,7361,3.5,7252
110993,110993,763,27904,0.5,9619
110994,110994,763,46723,0.5,11190
110995,110995,763,47423,2.5,11279
110996,110996,763,65188,4.5,13347
58548,58548,419,1376,3.5,1347
58549,58549,419,1754,4.5,1691
58550,58550,419,2012,3.0,1930
58551,58551,419,2054,1.0,1972
58552,58552,419,2194,4.0,2112
58553,58553,419,2406,4.0,2323
58554,58554,419,2599,2.5,2516
58555,58555,419,2617,3.5,2534
58556,58556,419,2699,2.5,2615
58557,58557,419,5952,5.0,5856
64309,64309,453,3869,1.5,3778
64310,64310,453,3949,3.0,3857
64311,64311,453,4235,3.0,4143
64312,64312,453,4621,1.5,4529
64313,64313,453,4865,3.5,4772
64314,64314,453,5308,1.5,5214
64315,64315,453,6016,4.0,5920
64316,64316,453,6503,1.5,6396
64317,64317,453,58559,3.5,12582
64318,64318,453,66097,3.5,13468
260084,260084,1796,912,4.5,897
260085,260085,1796,1586,2.0,1536
260086,260086,1796,1960,3.5,1878
260087,260087,1796,2080,4.5,1998
260088,260088,1796,2094,3.0,2012
260089,260089,1796,3148,5.0,3063
260090,260090,1796,5816,3.0,5720
260091,260091,1796,7579,4.5,7383
260092,260092,1796,8636,3.0,7956
260093,260093,1796,8961,3.5,8281
122418,122418,824,2359,2.0,2276
122419,122419,824,2501,5.0,2418
122420,122420,824,2707,2.0,2623
122421,122421,824,2722,4.0,2638
122422,122422,824,2881,3.0,2797
122423,122423,824,3174,2.5,3089
122424,122424,824,3363,2.0,3278
122425,122425,824,3510,2.5,3422
122426,122426,824,3863,1.0,3772
122427,122427,824,5991,1.5,5895
92323,92323,640,2398,3.0,2315
92324,92324,640,2421,3.5,2338
92325,92325,640,2496,5.0,2413
92326,92326,640,2662,4.5,2578
92327,92327,640,2713,2.5,2629
92328,92328,640,2720,4.5,2636
92329,92329,640,3264,3.5,3179
92330,92330,640,4002,3.0,3910
92331,92331,640,4128,4.0,4036
92332,92332,640,5015,4.0,4922
273625,273625,1877,4699,4.0,4607
273626,273626,1877,4867,3.5,4774
273627,273627,1877,7285,4.5,7176
273628,273628,1877,50800,3.5,11662
273629,273629,1877,52668,4.0,11874
273630,273630,1877,56367,4.0,12331
273631,273631,1877,60072,4.0,12804
273632,273632,1877,63992,5.0,13230
273633,273633,1877,65230,3.5,13353
273634,273634,1877,70301,1.5,14063
288572,288572,1973,95,3.0,95
288573,288573,1973,112,3.0,112
288574,288574,1973,141,3.0,141
288575,288575,1973,608,4.0,604
288576,288576,1973,648,3.0,642
288577,288577,1973,653,4.0,647
288578,288578,1973,708,4.0,698
288579,288579,1973,780,3.0,769
288580,288580,1973,784,4.0,773
288581,288581,1973,1073,5.0,1054
296023,296023,2026,608,3.0,604
296024,296024,2026,628,4.0,623
296025,296025,2026,648,4.0,642
296026,296026,2026,707,2.0,697
296027,296027,2026,733,5.0,723
296028,296028,2026,736,3.0,726
296029,296029,2026,780,5.0,769
296030,296030,2026,802,5.0,791
296031,296031,2026,805,5.0,794
296032,296032,2026,832,5.0,819
22986,22986,165,1376,3.5,1347
22987,22987,165,1396,2.0,1367
22988,22988,165,2238,5.0,2155
22989,22989,165,2302,3.5,2219
22990,22990,165,2407,3.5,2324
22991,22991,165,2427,5.0,2344
22992,22992,165,2571,5.0,2488
22993,22993,165,3361,4.0,3276
22994,22994,165,7099,5.0,6990
22995,22995,165,48774,5.0,11457
223872,223872,1548,329,3.0,327
223873,223873,1548,344,4.0,342
223874,223874,1548,380,3.0,378
223875,223875,1548,457,3.0,455
223876,223876,1548,588,5.0,584
223877,223877,1548,595,3.0,591
223878,223878,1548,660,3.0,654
223879,223879,1548,797,5.0,786
223880,223880,1548,804,5.0,793
223881,223881,1548,805,3.0,794
66201,66201,463,1952,1.5,1870
66202,66202,463,2085,3.0,2003
66203,66203,463,2094,1.5,2012
66204,66204,463,2145,2.0,2063
66205,66205,463,2160,4.0,2078
66206,66206,463,2501,3.5,2418
66207,66207,463,2826,4.0,2742
66208,66208,463,3317,2.0,3232
66209,66209,463,3396,2.0,3310
66210,66210,463,3624,1.5,3535
164131,164131,1109,2571,5.0,2488
164132,164132,1109,2582,5.0,2499
164133,164133,1109,2706,5.0,2622
164134,164134,1109,2916,5.0,2832
164135,164135,1109,3114,5.0,3029
164136,164136,1109,3147,5.0,3062
164137,164137,1109,3578,5.0,3489
164138,164138,1109,3745,4.0,3656
164139,164139,1109,3793,5.0,3704
164140,164140,1109,3948,4.0,3856
257295,257295,1765,480,3.0,478
257296,257296,1765,500,4.0,498
257297,257297,1765,539,4.0,537
257298,257298,1765,587,3.0,583
257299,257299,1765,588,4.0,584
257300,257300,1765,589,3.0,585
257301,257301,1765,590,3.0,586
257302,257302,1765,592,3.0,588
257303,257303,1765,595,3.0,591
257304,257304,1765,597,2.0,593
37119,37119,286,356,5.0,354
37120,37120,286,377,4.0,375
37121,37121,286,380,3.0,378
37122,37122,286,434,3.0,432
37123,37123,286,454,4.0,452
37124,37124,286,457,4.0,455
37125,37125,286,480,4.0,478
37126,37126,286,590,5.0,586
37127,37127,286,592,4.0,588
37128,37128,286,595,4.0,591
251711,251711,1741,2858,3.0,2774
251712,251712,1741,2997,5.0,2913
251713,251713,1741,3072,4.0,2987
251714,251714,1741,3160,3.0,3075
251715,251715,1741,3176,4.0,3091
251716,251716,1741,3185,2.0,3100
251717,251717,1741,3408,4.0,3322
251718,251718,1741,3543,4.0,3454
251719,251719,1741,3618,4.0,3529
251720,251720,1741,3702,2.0,3613
23725,23725,176,2005,5.0,1923
23726,23726,176,2316,5.0,2233
23727,23727,176,2571,3.0,2488
23728,23728,176,2858,1.0,2774
23729,23729,176,3578,5.0,3489
23730,23730,176,3752,1.0,3663
23731,23731,176,3753,5.0,3664
23732,23732,176,3793,3.0,3704
23733,23733,176,3916,4.0,3825
23734,23734,176,4025,5.0,3933
244606,244606,1690,2490,5.0,2407
244607,244607,1690,2541,3.5,2458
244608,244608,1690,2723,5.0,2639
244609,244609,1690,2724,4.0,2640
244610,244610,1690,2908,3.5,2824
244611,244611,1690,2968,4.5,2884
244612,244612,1690,3107,3.0,3022
244613,244613,1690,3210,3.5,3125
244614,244614,1690,3703,5.0,3614
244615,244615,1690,3863,4.0,3772
137253,137253,921,2134,5.0,2052
137254,137254,921,2231,3.5,2148
137255,137255,921,2371,3.0,2288
137256,137256,921,2686,4.0,2602
137257,137257,921,3105,4.0,3020
137258,137258,921,3148,4.5,3063
137259,137259,921,3317,5.0,3232
137260,137260,921,3526,3.0,3438
137261,137261,921,6016,4.0,5920
137262,137262,921,58559,4.5,12582
127565,127565,866,552,1.5,550
127566,127566,866,1035,1.5,1018
127567,127567,866,1252,5.0,1226
127568,127568,866,1376,2.5,1347
127569,127569,866,1380,3.0,1351
127570,127570,866,1396,2.0,1367
127571,127571,866,1732,5.0,1674
127572,127572,866,2054,2.5,1972
127573,127573,866,2699,3.0,2615
127574,127574,866,5952,5.0,5856
138421,138421,930,1373,2.5,1344
138422,138422,930,1663,4.0,1608
138423,138423,930,1805,2.5,1731
138424,138424,930,2020,2.0,1938
138425,138425,930,2393,2.5,2310
138426,138426,930,2420,2.0,2337
138427,138427,930,2915,4.0,2831
138428,138428,930,3108,4.5,3023
138429,138429,930,3361,2.5,3276
138430,138430,930,3489,4.5,3401
142524,142524,957,2723,2.5,2639
142525,142525,957,2746,2.0,2662
142526,142526,957,2826,2.5,2742
142527,142527,957,2871,2.5,2787
142528,142528,957,3363,5.0,3278
142529,142529,957,3386,1.0,3300
142530,142530,957,3552,0.5,3463
142531,142531,957,3624,1.5,3535
142532,142532,957,3702,2.0,3613
142533,142533,957,3703,2.0,3614
142775,142775,962,234,4.0,233
142776,142776,962,276,4.0,275
142777,142777,962,292,4.0,291
142778,142778,962,344,3.0,342
142779,142779,962,349,3.0,347
142780,142780,962,434,3.0,432
142781,142781,962,435,4.0,433
142782,142782,962,588,3.0,584
142783,142783,962,590,4.0,586
142784,142784,962,592,2.0,588
55773,55773,403,1299,0.5,1272
55774,55774,403,1831,3.0,1752
55775,55775,403,1960,1.0,1878
55776,55776,403,2352,1.5,2269
55777,55777,403,2366,3.0,2283
55778,55778,403,2707,3.5,2623
55779,55779,403,3148,2.0,3063
55780,55780,403,3555,2.0,3466
55781,55781,403,3752,1.0,3663
55782,55782,403,4002,2.0,3910
4201,4201,35,1597,3.5,1547
4202,4202,35,1625,2.5,1573
4203,4203,35,1673,2.5,1618
4204,4204,35,2023,3.5,1941
4205,4205,35,2100,2.0,2018
4206,4206,35,2302,3.0,2219
4207,4207,35,2353,4.0,2270
4208,4208,35,2712,1.0,2628
4209,4209,35,2770,3.0,2686
4210,4210,35,58293,3.5,12542
55209,55209,395,2012,1.5,1930
55210,55210,395,2174,3.0,2092
55211,55211,395,2355,3.0,2272
55212,55212,395,2710,3.0,2626
55213,55213,395,3114,3.5,3029
55214,55214,395,3793,2.5,3704
55215,55215,395,5952,3.0,5856
55216,55216,395,45499,2.0,11078
55217,55217,395,45666,2.5,11105
55218,55218,395,46530,4.0,11170
48534,48534,361,2273,3.0,2190
48535,48535,361,2278,3.0,2195
48536,48536,361,2297,3.0,2214
48537,48537,361,2320,4.0,2237
48538,48538,361,2329,4.0,2246
48539,48539,361,2335,3.0,2252
48540,48540,361,2338,1.0,2255
48541,48541,361,2353,3.0,2270
48542,48542,361,2355,2.0,2272
48543,48543,361,2386,2.0,2303
140377,140377,943,1967,1.0,1885
140378,140378,943,2096,2.0,2014
140379,140379,943,2140,2.0,2058
140380,140380,943,2761,3.0,2677
140381,140381,943,2881,4.0,2797
140382,140382,943,2953,4.0,2869
140383,140383,943,3396,2.0,3310
140384,140384,943,3510,2.0,3422
140385,140385,943,3785,4.5,3696
140386,140386,943,4388,4.0,4296
53854,53854,392,296,5.0,295
53855,53855,392,316,4.0,315
53856,53856,392,318,4.0,317
53857,53857,392,329,4.0,327
53858,53858,392,339,3.0,337
53859,53859,392,364,3.0,362
53860,53860,392,480,4.0,478
53861,53861,392,589,4.0,585
53862,53862,392,593,5.0,589
53863,53863,392,648,3.0,642
233104,233104,1604,628,4.0,623
233105,233105,1604,637,3.0,632
233106,233106,1604,648,2.0,642
233107,233107,1604,653,5.0,647
233108,233108,1604,733,5.0,723
233109,233109,1604,736,4.0,726
233110,233110,1604,762,3.0,751
233111,233111,1604,786,4.0,775
233112,233112,1604,788,1.0,777
233113,233113,1604,802,4.0,791
229546,229546,1584,1077,4.0,1057
229547,229547,1584,1345,1.5,1317
229548,229548,1584,2020,1.5,1938
229549,229549,1584,2064,3.5,1982
229550,229550,1584,2108,1.5,2026
229551,229551,1584,2144,4.5,2062
229552,229552,1584,2352,3.0,2269
229553,229553,1584,2393,4.0,2310
229554,229554,1584,2605,1.0,2522
229555,229555,1584,3107,0.5,3022
44678,44678,344,1307,4.0,1280
44679,44679,344,1923,3.0,1841
44680,44680,344,1961,3.0,1879
44681,44681,344,2355,3.5,2272
44682,44682,344,2716,4.0,2632
44683,44683,344,2997,4.0,2913
44684,44684,344,3793,4.0,3704
44685,44685,344,3996,3.5,3904
44686,44686,344,4306,3.5,4214
44687,44687,344,4993,5.0,4900
259104,259104,1780,724,2.0,714
259105,259105,1780,737,3.0,727
259106,259106,1780,745,5.0,734
259107,259107,1780,778,4.0,767
259108,259108,1780,780,3.0,769
259109,259109,1780,786,3.0,775
259110,259110,1780,832,3.0,819
259111,259111,1780,1073,4.0,1054
259112,259112,1780,1183,5.0,1161
259113,259113,1780,1356,4.0,1328
30440,30440,242,344,1.0,342
30441,30441,242,349,4.0,347
30442,30442,242,356,5.0,354
30443,30443,242,380,3.0,378
30444,30444,242,454,3.0,452
30445,30445,242,457,4.0,455
30446,30446,242,480,3.0,478
30447,30447,242,588,3.0,584
30448,30448,242,590,3.0,586
30449,30449,242,592,4.0,588
213001,213001,1460,1275,2.0,1249
213002,213002,1460,1276,3.5,1250
213003,213003,1460,1339,2.5,1311
213004,213004,1460,1371,2.0,1342
213005,213005,1460,1466,4.0,1431
213006,213006,1460,2005,2.0,1923
213007,213007,1460,2161,4.0,2079
213008,213008,1460,2167,3.5,2085
213009,213009,1460,2278,2.0,2195
213010,213010,1460,3755,2.0,3666
31933,31933,249,2002,2.0,1920
31934,31934,249,2006,2.0,1924
31935,31935,249,2329,5.0,2246
31936,31936,249,2407,1.0,2324
31937,31937,249,2712,4.5,2628
31938,31938,249,2858,5.0,2774
31939,31939,249,3052,3.0,2967
31940,31940,249,4235,5.0,4143
31941,31941,249,4973,5.0,4880
31942,31942,249,54997,5.0,12146
44143,44143,340,1302,4.5,1275
44144,44144,340,1375,3.0,1346
44145,44145,340,2321,3.0,2238
44146,44146,340,2657,3.0,2573
44147,44147,340,2804,4.5,2720
44148,44148,340,3101,3.0,3016
44149,44149,340,3471,4.5,3384
44150,44150,340,4027,4.5,3935
44151,44151,340,8644,4.0,7964
44152,44152,340,8665,4.0,7985
32869,32869,256,1120,3.0,1099
32870,32870,256,1206,4.0,1182
32871,32871,256,1213,4.0,1189
32872,32872,256,1291,3.0,1265
32873,32873,256,1393,4.0,1364
32874,32874,256,1407,5.0,1376
32875,32875,256,1480,3.0,1443
32876,32876,256,1552,3.0,1504
32877,32877,256,1580,1.0,1530
32878,32878,256,1608,3.0,1557
170485,170485,1155,380,5.0,378
170486,170486,1155,440,3.0,438
170487,170487,1155,457,5.0,455
170488,170488,1155,480,4.0,478
170489,170489,1155,527,4.0,525
170490,170490,1155,589,4.0,585
170491,170491,1155,592,3.0,588
170492,170492,1155,593,5.0,589
170493,170493,1155,736,5.0,726
170494,170494,1155,780,5.0,769
208239,208239,1424,1258,5.0,1232
208240,208240,1424,1304,0.5,1277
208241,208241,1424,1917,5.0,1835
208242,208242,1424,2115,0.5,2033
208243,208243,1424,2174,0.5,2092
208244,208244,1424,2791,0.5,2707
208245,208245,1424,2797,5.0,2713
208246,208246,1424,3793,5.0,3704
208247,208247,1424,4306,0.5,4214
208248,208248,1424,4993,0.5,4900
185018,185018,1254,1234,4.5,1209
185019,185019,1254,1307,4.5,1280
185020,185020,1254,1917,4.5,1835
185021,185021,1254,1923,4.0,1841
185022,185022,1254,1961,4.0,1879
185023,185023,1254,2232,4.5,2149
185024,185024,1254,2355,3.0,2272
185025,185025,1254,2959,5.0,2875
185026,185026,1254,3996,4.0,3904
185027,185027,1254,7153,5.0,7044
42623,42623,324,661,3.0,655
42624,42624,324,707,4.0,697
42625,42625,324,708,3.0,698
42626,42626,324,709,3.0,699
42627,42627,324,780,5.0,769
42628,42628,324,783,4.0,772
42629,42629,324,785,5.0,774
42630,42630,324,788,3.0,777
42631,42631,324,1073,3.0,1054
42632,42632,324,1084,5.0,1064
191358,191358,1302,1172,4.0,1151
191359,191359,1302,1285,4.0,1259
191360,191360,1302,1302,2.5,1275
191361,191361,1302,1343,2.0,1315
191362,191362,1302,1513,0.5,1469
191363,191363,1302,1953,4.0,1871
191364,191364,1302,2076,3.0,1994
191365,191365,1302,2968,5.0,2884
191366,191366,1302,7831,5.0,7509
191367,191367,1302,7834,5.0,7512
195558,195558,1332,3461,3.0,3374
195559,195559,1332,5952,4.5,5856
195560,195560,1332,7367,3.5,7258
195561,195561,1332,45728,3.0,11115
195562,195562,1332,46970,3.0,11225
195563,195563,1332,52245,3.5,11823
195564,195564,1332,60069,3.5,12803
195565,195565,1332,60072,3.0,12804
195566,195566,1332,61350,2.0,13010
195567,195567,1332,65088,2.5,13337
50296,50296,370,1982,3.5,1900
50297,50297,370,2072,2.0,1990
50298,50298,370,2686,4.0,2602
50299,50299,370,2795,2.5,2711
50300,50300,370,2951,4.5,2867
50301,50301,370,3112,4.0,3027
50302,50302,370,3424,4.0,3337
50303,50303,370,3798,4.0,3709
50304,50304,370,26564,4.0,8990
50305,50305,370,69757,3.5,13968
42688,42688,327,356,4.0,354
42689,42689,327,380,4.0,378
42690,42690,327,426,3.0,424
42691,42691,327,457,4.0,455
42692,42692,327,480,3.0,478
42693,42693,327,532,3.0,530
42694,42694,327,592,4.0,588
42695,42695,327,593,5.0,589
42696,42696,327,606,3.0,602
42697,42697,327,628,4.0,623
237697,237697,1641,3555,5.0,3466
237698,237698,1641,3578,5.0,3489
237699,237699,1641,3580,3.0,3491
237700,237700,1641,3623,3.0,3534
237701,237701,1641,3751,4.0,3662
237702,237702,1641,3755,4.0,3666
237703,237703,1641,3793,3.0,3704
237704,237704,1641,3827,4.0,3737
237705,237705,1641,3831,4.0,3741
237706,237706,1641,3967,4.0,3875
237707,237707,1641,4310,4.0,4218
259398,259398,1786,2004,4.0,1922
259399,259399,1786,2167,4.0,2085
259400,259400,1786,2411,2.0,2328
259401,259401,1786,2722,4.5,2638
259402,259402,1786,3755,4.0,3666
259403,259403,1786,3882,3.0,3791
259404,259404,1786,3916,2.5,3825
259405,259405,1786,5388,4.0,5294
259406,259406,1786,5630,4.0,5534
259407,259407,1786,33794,4.0,10227
259408,259408,1786,89864,4.5,17928
257506,257506,1768,1101,2.0,1081
257507,257507,1768,1208,4.0,1184
257508,257508,1768,1225,4.0,1201
257509,257509,1768,1258,4.0,1232
257510,257510,1768,1917,0.5,1835
257511,257511,1768,2012,3.5,1930
257512,257512,1768,2174,4.0,2092
257513,257513,1768,2329,4.0,2246
257514,257514,1768,2710,4.5,2626
257515,257515,1768,2797,3.0,2713
257516,257516,1768,5952,4.5,5856
269430,269430,1852,2571,5.0,2488
269431,269431,1852,2959,4.5,2875
269432,269432,1852,3470,5.0,3383
269433,269433,1852,26082,4.0,8662
269434,269434,1852,26131,5.0,8696
269435,269435,1852,27773,5.0,9539
269436,269436,1852,48516,4.5,11419
269437,269437,1852,48780,5.0,11458
269438,269438,1852,66934,3.5,13576
269439,269439,1852,94466,4.5,19006
269440,269440,1852,109487,4.0,22868
23793,23793,178,3081,3.5,2996
23794,23794,178,3114,1.5,3029
23795,23795,178,3248,2.5,3163
23796,23796,178,3264,3.0,3179
23797,23797,178,4306,3.5,4214
23798,23798,178,5378,2.5,5284
23799,23799,178,5445,3.0,5351
23800,23800,178,5952,4.0,5856
23801,23801,178,6539,3.5,6432
23802,23802,178,7153,4.0,7044
23803,23803,178,8604,2.5,7924
240300,240300,1662,2393,3.5,2310
240301,240301,1662,2427,3.5,2344
240302,240302,1662,2571,4.0,2488
240303,240303,1662,2724,2.0,2640
240304,240304,1662,2968,1.0,2884
240305,240305,1662,3006,3.5,2922
240306,240306,1662,3039,3.0,2954
240307,240307,1662,3702,2.0,3613
240308,240308,1662,4993,5.0,4900
240309,240309,1662,4995,3.0,4902
240310,240310,1662,55247,4.0,12188
239562,239562,1653,318,5.0,317
239563,239563,1653,329,5.0,327
239564,239564,1653,339,5.0,337
239565,239565,1653,344,3.0,342
239566,239566,1653,380,3.0,378
239567,239567,1653,410,4.0,408
239568,239568,1653,457,5.0,455
239569,239569,1653,590,5.0,586
239570,239570,1653,592,3.0,588
239571,239571,1653,593,5.0,589
239572,239572,1653,595,5.0,591
238863,238863,1645,1573,3.0,1524
238864,238864,1645,1721,2.0,1663
238865,238865,1645,1801,2.0,1729
238866,238866,1645,1835,3.0,1756
238867,238867,1645,1923,3.0,1841
238868,238868,1645,2006,2.0,1924
238869,238869,1645,2028,4.0,1946
238870,238870,1645,2324,4.0,2241
238871,238871,1645,2424,4.0,2341
238872,238872,1645,2431,3.0,2348
238873,238873,1645,2505,4.0,2422
